Rank,Team,2024,Last 3,Last 1,Home,Away,2023
38,Florida,14.7%,13.8%,11.4%,14.4%,15.0%,15.4%
39,Mississippi St,14.7%,10.7%,10.4%,15.2%,14.4%,18.4%
40,Saint Mary's,14.8%,17.6%,27.0%,14.8%,14.8%,15.6%
41,North Carolina,14.8%,16.2%,15.0%,13.2%,15.9%,13.8%
42,Montana St,14.8%,15.1%,10.8%,14.8%,14.8%,16.4%
43,Charlotte,14.8%,17.6%,15.2%,15.0%,14.7%,15.2%
44,Nicholls,14.8%,20.5%,21.5%,12.2%,16.5%,18.4%
45,NC Greensboro,14.8%,11.8%,17.2%,14.2%,15.2%,15.9%
46,Kentucky,14.9%,16.3%,19.1%,13.5%,16.5%,13.9%
47,Loyola Mymt,14.9%,13.4%,16.8%,15.4%,14.5%,16.0%
48,Princeton,14.9%,13.9%,14.8%,14.8%,15.0%,11.8%
49,Chattanooga,15.0%,14.9%,11.8%,12.9%,16.5%,16.7%
50,High Point,15.0%,13.9%,14.6%,16.7%,13.5%,15.8%
51,N Arizona,15.0%,16.8%,13.7%,15.2%,14.9%,17.7%
52,Rutgers,15.0%,13.4%,13.9%,14.9%,15.1%,16.1%
53,St John's,15.0%,13.0%,12.1%,15.2%,14.8%,15.3%
54,NC A&T,15.0%,20.3%,18.0%,15.4%,14.8%,13.4%
55,Liberty,15.0%,14.0%,14.4%,15.1%,15.0%,15.9%
56,Columbia,15.1%,13.5%,15.1%,14.6%,15.7%,17.3%
57,La Salle,15.1%,15.1%,11.5%,14.3%,15.8%,13.8%
58,Cincinnati,15.1%,18.2%,16.8%,14.2%,16.1%,17.0%
59,New Mexico,15.1%,11.5%,9.3%,13.8%,16.3%,13.7%
60,Maine,15.1%,11.3%,16.1%,13.5%,16.0%,16.4%
61,Richmond,15.1%,16.0%,17.0%,15.8%,14.6%,12.6%
62,Dayton,15.1%,12.7%,14.0%,14.8%,15.5%,15.7%
63,Fairfield,15.2%,14.4%,18.7%,14.4%,15.7%,15.2%
64,Purdue,15.2%,11.5%,11.3%,13.7%,16.6%,16.2%
65,Ohio St,15.2%,13.1%,14.9%,15.1%,15.3%,15.2%
66,Nevada,15.2%,13.5%,7.8%,15.1%,15.3%,14.9%
67,SE Missouri St,15.2%,19.6%,11.5%,13.7%,16.2%,17.1%
68,UTSA,15.2%,12.8%,11.8%,14.4%,15.8%,15.1%
69,Missouri,15.2%,18.4%,26.2%,15.0%,15.6%,16.4%
70,W Kentucky,15.2%,11.5%,15.5%,14.3%,16.3%,18.0%
71,Omaha,15.2%,13.6%,10.6%,14.0%,15.8%,14.3%
72,Villanova,15.2%,15.3%,11.7%,14.2%,16.3%,14.3%
73,Albany,15.3%,13.9%,16.8%,14.6%,15.7%,17.3%
74,E Carolina,15.3%,12.9%,12.4%,15.8%,14.7%,15.9%
75,New Mexico St,15.3%,9.9%,11.5%,14.0%,16.2%,17.5%
76,Stanford,15.3%,12.8%,11.2%,15.0%,15.7%,17.4%
77,Temple,15.3%,13.0%,11.2%,16.7%,14.3%,13.8%
78,Lehigh,15.3%,19.5%,17.9%,14.9%,15.6%,16.5%
79,N Dakota St,15.3%,14.6%,19.9%,14.0%,16.3%,16.5%
80,Tennessee,15.3%,13.5%,9.9%,13.8%,16.9%,14.3%
81,IU Indy,15.4%,8.2%,7.6%,13.4%,16.6%,20.9%
82,Tulane,15.4%,11.4%,15.7%,15.6%,15.3%,15.2%
83,W Michigan,15.4%,13.2%,17.0%,16.3%,14.7%,19.2%
84,Campbell,15.5%,16.0%,14.8%,15.4%,15.5%,17.7%
85,Jacksonville St,15.5%,15.2%,19.6%,13.3%,16.6%,19.8%
86,Clemson,15.5%,18.2%,19.3%,15.5%,15.5%,14.5%
87,Illinois,15.5%,15.7%,22.4%,15.5%,15.5%,14.6%
88,St Bonaventure,15.5%,14.3%,12.8%,15.0%,15.9%,15.9%
89,Illinois St,15.5%,16.2%,14.4%,14.3%,16.6%,16.9%
90,Xavier,15.5%,13.3%,10.2%,14.5%,16.6%,15.8%
91,Hampton,15.6%,13.6%,7.4%,16.9%,14.8%,17.5%
92,Utah St,15.6%,17.6%,18.0%,13.1%,18.1%,15.1%
93,N Colorado,15.6%,16.4%,19.6%,16.0%,15.4%,15.5%
94,UC Riverside,15.6%,15.4%,20.1%,16.1%,15.2%,14.0%
95,UCLA,15.6%,13.1%,14.7%,13.1%,18.3%,16.0%
96,Louisiana,15.6%,16.4%,12.8%,15.5%,15.7%,16.4%
97,UMass,15.6%,15.0%,9.9%,15.1%,16.2%,15.6%
98,J Madison,15.6%,10.2%,11.5%,15.7%,15.6%,14.6%
99,E Tennessee St,15.6%,13.5%,9.8%,16.4%,15.0%,17.7%
100,Belmont,15.6%,19.5%,26.5%,14.9%,16.3%,16.5%
101,N Iowa,15.6%,17.0%,16.4%,13.5%,17.8%,14.9%
102,UMBC,15.6%,10.6%,11.8%,14.6%,16.6%,17.1%
103,NC Wilmington,15.7%,13.6%,17.7%,14.1%,17.1%,12.5%
104,Pepperdine,15.7%,11.4%,10.7%,15.4%,15.9%,16.1%
105,Montana,15.7%,11.4%,11.5%,15.3%,16.0%,14.8%
106,Miami,15.7%,14.0%,15.4%,15.9%,15.5%,16.8%
107,S Florida,15.7%,11.9%,11.0%,14.6%,16.7%,15.2%
108,Baylor,15.8%,10.3%,6.4%,15.0%,16.4%,17.2%
109,Arizona,15.8%,14.9%,18.0%,15.0%,16.5%,15.7%
110,Navy,15.8%,13.9%,18.8%,14.3%,16.8%,15.2%
111,FGCU,15.8%,17.7%,19.9%,16.3%,15.3%,17.2%
112,UNLV,15.8%,16.9%,12.9%,13.8%,18.5%,15.8%
113,Monmouth,15.8%,11.6%,8.4%,14.5%,16.4%,15.0%
114,Dartmouth,15.8%,17.8%,12.1%,15.4%,16.1%,19.2%
115,Charleston,15.9%,16.6%,19.4%,15.3%,16.3%,13.9%
116,Florida Atlantic,15.9%,11.8%,18.2%,14.6%,16.6%,15.8%
117,McNeese,15.9%,13.7%,16.4%,15.5%,16.2%,13.6%
118,Wichita St,15.9%,17.0%,14.4%,14.5%,17.2%,17.3%
119,West Virginia,15.9%,20.7%,23.3%,16.5%,15.2%,18.0%
120,Oregon,15.9%,19.7%,21.4%,15.9%,15.9%,14.4%
121,Nebraska,15.9%,10.5%,8.8%,14.4%,17.5%,15.4%
122,N Illinois,15.9%,18.9%,25.3%,16.4%,15.5%,17.6%
123,Oral Roberts,15.9%,14.5%,19.1%,14.2%,16.9%,14.1%
124,W Georgia,15.9%,14.0%,7.4%,14.3%,16.8%,--
125,Presbyterian,15.9%,13.5%,6.0%,16.1%,15.8%,16.6%
126,Idaho St,15.9%,13.0%,16.1%,14.4%,17.0%,16.4%
127,Penn,15.9%,17.7%,15.8%,13.4%,18.3%,16.2%
128,Louisville,16.0%,15.2%,8.5%,16.0%,16.0%,17.8%
129,Saint Joseph's,16.0%,13.5%,10.6%,16.7%,15.2%,16.1%
130,Marshall,16.0%,11.5%,12.9%,15.4%,16.6%,16.1%
131,Butler,16.0%,10.9%,21.5%,15.9%,16.1%,15.0%
132,Virginia,16.0%,17.1%,11.9%,14.4%,17.8%,12.7%
133,Arkansas,16.1%,16.4%,13.5%,15.2%,16.9%,16.0%
134,Bryant,16.1%,18.9%,25.5%,17.3%,15.2%,15.5%
135,Ball St,16.1%,16.5%,18.7%,15.1%,17.0%,17.8%
136,Minnesota,16.1%,15.5%,17.7%,13.8%,19.4%,17.1%
137,Notre Dame,16.1%,15.1%,9.0%,15.7%,16.5%,18.7%
138,Mercyhurst,16.1%,14.2%,16.6%,13.5%,17.6%,--
139,California,16.2%,14.9%,24.4%,15.3%,17.1%,15.4%
140,Akron,16.2%,11.3%,14.1%,14.3%,17.5%,16.6%
141,Delaware,16.2%,14.3%,9.1%,18.1%,15.0%,15.6%
142,Middle Tenn,16.2%,16.4%,17.1%,17.6%,15.2%,20.1%
143,Alabama,16.2%,14.2%,12.7%,15.8%,16.6%,15.5%
144,Wake Forest,16.2%,16.0%,13.7%,14.4%,18.1%,15.1%
145,Oregon St,16.3%,12.7%,13.6%,15.8%,16.8%,17.9%
146,Mercer,16.3%,14.1%,24.1%,13.5%,17.7%,16.1%
147,North Dakota,16.3%,20.2%,33.9%,15.0%,17.1%,14.7%
148,Michigan St,16.3%,16.0%,10.1%,16.2%,16.4%,14.6%
149,Lafayette,16.3%,16.1%,21.1%,13.9%,18.3%,17.1%
150,Indiana,16.3%,14.7%,15.4%,14.8%,18.2%,17.1%
151,San Diego St,16.3%,15.4%,15.0%,17.5%,15.3%,15.8%
152,Prairie View,16.3%,14.1%,17.1%,16.4%,16.3%,17.3%
153,VCU,16.4%,18.6%,16.5%,15.4%,17.1%,17.9%
154,Tulsa,16.4%,15.7%,24.9%,16.0%,16.8%,17.7%
155,Cornell,16.4%,12.6%,16.0%,16.3%,16.5%,16.6%
156,App State,16.4%,17.9%,13.4%,15.9%,16.8%,14.9%
157,American,16.4%,16.9%,19.6%,16.4%,16.5%,17.0%
158,Georgia St,16.4%,16.1%,13.3%,14.8%,17.7%,13.5%
159,Old Dominion,16.5%,16.4%,15.7%,14.2%,18.1%,14.6%
160,Colgate,16.5%,17.7%,19.9%,17.2%,15.9%,15.9%
161,N Texas,16.5%,14.1%,12.0%,15.0%,17.7%,17.2%
162,Santa Clara,16.5%,12.3%,10.1%,16.7%,16.2%,17.8%
163,Murray St,16.5%,17.0%,14.1%,17.0%,16.2%,14.1%
164,Kansas,16.5%,19.3%,21.6%,14.3%,18.5%,16.2%
165,Iowa St,16.5%,18.0%,12.9%,16.5%,16.5%,15.1%
166,Wofford,16.5%,12.1%,18.1%,17.5%,16.0%,16.7%
167,Weber St,16.5%,15.3%,17.3%,16.1%,16.8%,14.6%
168,San Francisco,16.5%,17.8%,15.9%,16.4%,16.7%,16.6%
169,Boise St,16.5%,18.5%,20.9%,15.8%,17.1%,16.1%
170,Seattle,16.6%,16.5%,15.0%,15.2%,17.5%,18.1%
171,Manhattan,16.6%,17.2%,18.5%,17.1%,16.2%,18.9%
172,Furman,16.6%,16.8%,18.8%,16.0%,17.1%,15.6%
173,Brown,16.6%,17.3%,20.9%,15.6%,17.7%,17.9%
174,UConn,16.7%,18.4%,10.3%,15.6%,17.7%,14.1%
175,SIU Edward,16.7%,18.0%,19.4%,16.0%,17.1%,15.1%
176,F Dickinson,16.7%,19.6%,18.3%,16.0%,17.0%,16.8%
177,UCF,16.7%,19.4%,16.1%,17.4%,15.9%,17.5%
178,Vermont,16.7%,21.6%,25.9%,15.8%,17.5%,13.8%
179,UTEP,16.7%,16.1%,18.5%,15.3%,17.9%,20.8%
180,Georgetown,16.8%,9.8%,11.3%,16.9%,16.5%,17.5%
181,UL Monroe,16.8%,14.1%,15.8%,16.3%,17.2%,17.8%
182,Bradley,16.8%,12.1%,10.0%,17.9%,15.8%,17.7%
183,Rider,16.8%,11.4%,14.3%,16.2%,17.1%,17.5%
184,San Jose St,16.8%,20.4%,11.7%,15.4%,17.9%,15.3%
185,SMU,16.8%,19.4%,16.4%,16.4%,17.3%,16.0%
186,C Connecticut,16.8%,21.0%,24.4%,17.1%,16.6%,16.3%
187,S Indiana,16.8%,14.9%,14.6%,16.2%,17.4%,19.0%
188,Boston College,16.9%,14.3%,17.6%,14.6%,19.6%,15.0%
189,Utah Valley,16.9%,19.2%,17.2%,16.2%,17.2%,17.6%
190,TCU,16.9%,17.4%,20.2%,15.2%,18.8%,17.5%
191,N Kentucky,16.9%,16.0%,22.2%,15.4%,18.5%,16.9%
192,Oklahoma,16.9%,11.6%,10.5%,16.7%,17.2%,17.8%
193,Siena,16.9%,14.5%,9.2%,16.8%,17.0%,22.8%
194,Tenn Tech,17.0%,17.0%,18.3%,16.9%,17.0%,17.5%
195,Florida St,17.0%,16.2%,14.5%,17.4%,16.5%,16.1%
196,Georgia Tech,17.0%,16.9%,15.4%,15.7%,18.8%,17.3%
197,Arizona St,17.0%,9.6%,14.7%,17.1%,16.9%,14.4%
198,SE Louisiana,17.0%,12.9%,14.4%,13.6%,18.7%,20.4%
199,Colorado St,17.0%,15.8%,12.8%,15.4%,18.5%,15.2%
200,Bowling Green,17.1%,22.1%,28.0%,15.4%,18.5%,15.9%
201,Kent St,17.1%,17.9%,22.8%,14.9%,18.5%,16.8%
202,Penn St,17.1%,18.8%,17.3%,16.1%,18.2%,15.3%
203,Illinois Chicago,17.1%,17.9%,13.3%,16.2%,17.7%,17.2%
204,Miami OH,17.1%,16.4%,15.6%,16.1%,17.9%,16.8%
205,BYU,17.1%,17.3%,18.0%,15.3%,19.0%,14.9%
206,Bellarmine,17.2%,15.9%,14.0%,15.1%,18.9%,14.2%
207,Youngstown St,17.2%,16.7%,8.6%,17.4%,17.1%,15.0%
208,Hofstra,17.2%,15.4%,20.1%,15.5%,18.1%,15.3%
209,Washington,17.2%,17.1%,9.7%,16.9%,17.6%,15.5%
210,Sacred Heart,17.2%,21.9%,25.8%,16.5%,17.6%,16.6%
211,Winthrop,17.2%,17.1%,16.4%,16.7%,17.6%,18.3%
212,C Michigan,17.2%,16.1%,19.2%,16.3%,17.9%,17.1%
213,Cal Baptist,17.3%,18.3%,17.7%,16.5%,18.0%,17.2%
214,S Dakota St,17.3%,14.7%,8.0%,18.0%,16.9%,16.3%
215,Loyola Chi,17.3%,17.0%,21.9%,16.5%,18.0%,18.1%
216,Rice,17.3%,16.3%,15.2%,17.3%,17.3%,16.9%
217,Radford,17.3%,15.4%,15.2%,16.9%,17.5%,15.8%
218,Texas A&M-CC,17.3%,17.4%,19.2%,15.6%,18.6%,17.2%
219,Loyola MD,17.3%,18.6%,16.8%,16.0%,18.4%,19.8%
220,Fresno St,17.3%,16.2%,15.6%,16.4%,18.0%,18.4%
221,Evansville,17.3%,22.4%,19.0%,16.2%,18.4%,16.4%
222,Kansas St,17.4%,18.5%,11.4%,16.7%,18.0%,20.7%
223,Incarnate Word,17.4%,19.0%,15.8%,16.2%,18.3%,21.2%
224,Wright St,17.4%,18.7%,23.4%,17.5%,17.3%,16.2%
225,USC,17.4%,23.2%,15.6%,16.9%,18.1%,17.4%
226,Idaho,17.4%,15.5%,16.5%,16.9%,17.8%,17.1%
227,Lindenwood,17.5%,13.4%,21.3%,18.0%,17.2%,17.4%
228,Morgan St,17.5%,20.9%,17.9%,17.9%,17.3%,19.7%
229,Syracuse,17.5%,20.2%,22.7%,16.6%,18.5%,15.6%
230,Texas A&M,17.5%,16.3%,15.4%,16.8%,18.1%,13.7%
231,DePaul,17.5%,16.4%,18.7%,16.3%,19.2%,19.4%
232,Harvard,17.5%,17.3%,11.4%,17.2%,17.7%,17.4%
233,Rhode Island,17.5%,16.5%,11.2%,17.4%,17.7%,18.1%
234,NJIT,17.5%,16.1%,16.9%,16.3%,18.4%,16.1%
235,Oakland,17.5%,14.5%,17.8%,16.3%,18.3%,15.6%
236,VMI,17.6%,17.9%,21.2%,17.8%,17.5%,20.8%
237,Portland,17.6%,15.6%,15.2%,17.8%,17.4%,16.7%
238,Utah,17.6%,20.0%,15.2%,15.7%,20.4%,15.7%
239,Texas St,17.6%,15.6%,18.2%,14.9%,19.4%,19.4%
240,Holy Cross,17.6%,18.4%,19.4%,18.1%,17.3%,16.2%
241,Queens,17.6%,14.9%,11.6%,16.3%,18.5%,15.4%
242,Hou Christian,17.6%,16.8%,17.4%,17.1%,18.0%,20.4%
243,Creighton,17.6%,14.5%,14.1%,18.1%,17.2%,15.1%
244,C Arkansas,17.6%,14.0%,14.7%,17.9%,17.5%,17.7%
245,Quinnipiac,17.7%,15.3%,13.7%,16.6%,18.3%,16.8%
246,Longwood,17.7%,22.3%,14.2%,19.3%,16.3%,18.3%
247,Green Bay,17.7%,10.5%,12.1%,17.4%,17.9%,18.2%
248,Delaware St,17.7%,18.4%,15.9%,18.5%,17.2%,20.7%
249,UCSB,17.7%,14.9%,15.5%,18.8%,16.7%,18.7%
250,UC Irvine,17.8%,16.2%,14.0%,16.3%,18.5%,16.3%
251,UMass Lowell,17.8%,21.8%,21.9%,17.0%,18.6%,17.8%
252,Coastal Car,17.8%,15.9%,15.3%,17.3%,18.1%,18.5%
253,W Illinois,17.8%,18.4%,19.5%,16.0%,19.1%,19.6%
254,G Washington,17.8%,17.6%,23.2%,17.2%,18.4%,16.6%
255,William & Mary,17.8%,20.9%,12.5%,18.0%,17.7%,15.9%
256,Cleveland St,17.8%,20.1%,24.7%,15.8%,19.7%,14.5%
257,Stony Brook,17.9%,14.2%,17.3%,18.1%,17.7%,14.8%
258,Norfolk St,17.9%,20.0%,24.1%,18.3%,17.7%,18.0%
259,Utah Tech,17.9%,18.4%,12.7%,17.7%,18.0%,21.3%
260,S Illinois,17.9%,14.4%,25.4%,18.0%,17.7%,16.4%
261,Duquesne,17.9%,21.2%,27.5%,17.1%,18.7%,16.9%
262,Sam Houston,17.9%,15.3%,19.1%,16.9%,18.4%,18.3%
263,Morehead St,17.9%,15.9%,16.8%,16.9%,18.5%,17.8%
264,Stonehill,17.9%,19.9%,22.7%,16.4%,18.9%,19.2%
265,South Carolina,17.9%,12.5%,15.9%,16.5%,19.7%,15.1%
266,Marist,17.9%,18.6%,11.8%,17.8%,18.1%,18.1%
267,Portland St,17.9%,17.5%,12.1%,18.7%,17.5%,16.0%
268,Robert Morris,18.0%,14.7%,11.5%,19.2%,16.7%,19.6%
269,San Diego,18.0%,18.0%,22.2%,18.2%,17.7%,17.8%
270,Fordham,18.0%,14.3%,10.9%,17.8%,18.2%,17.8%
271,Denver,18.0%,19.9%,21.0%,18.6%,17.7%,13.7%
272,Samford,18.0%,17.8%,25.8%,16.7%,19.1%,17.4%
273,Northeastern,18.0%,17.4%,22.4%,17.8%,18.2%,18.4%
274,E Illinois,18.0%,19.0%,18.0%,17.0%,18.7%,15.4%
275,Grand Canyon,18.0%,12.6%,11.2%,17.1%,19.1%,17.2%
276,Chicago St,18.1%,14.8%,11.3%,17.2%,18.5%,19.5%
277,LSU,18.1%,19.8%,19.9%,17.3%,19.1%,18.1%
278,Southern,18.1%,20.1%,27.0%,17.0%,18.6%,19.9%
279,Canisius,18.1%,19.6%,17.1%,15.9%,19.7%,18.8%
280,Drexel,18.2%,13.4%,12.6%,17.0%,18.9%,16.1%
281,Kansas City,18.2%,18.5%,13.7%,17.0%,18.9%,17.5%
282,Niagara,18.2%,17.8%,16.8%,17.3%,18.7%,17.2%
283,Saint Louis,18.2%,17.4%,17.1%,18.2%,18.1%,16.5%
284,New Orleans,18.2%,17.9%,18.8%,17.6%,18.5%,16.8%
285,Stetson,18.2%,18.5%,17.0%,17.5%,18.7%,15.6%
286,Bucknell,18.2%,14.5%,17.1%,16.6%,19.7%,18.5%
287,E Washington,18.3%,18.7%,18.8%,17.5%,18.8%,18.7%
288,E Michigan,18.3%,17.8%,12.5%,18.2%,18.4%,16.6%
289,CS Bakersfield,18.3%,17.8%,19.3%,16.9%,19.4%,17.8%
290,Georgia,18.3%,17.8%,17.7%,16.8%,20.2%,15.6%
291,Drake,18.3%,19.4%,23.1%,18.3%,18.4%,13.5%
292,Oklahoma St,18.4%,19.1%,10.5%,16.2%,20.4%,18.4%
293,Lamar,18.4%,19.1%,16.8%,17.5%,18.9%,17.6%
294,CS Northridge,18.4%,19.0%,15.4%,19.2%,17.9%,18.4%
295,Georgia So,18.4%,16.3%,11.0%,17.9%,18.8%,18.1%
296,New Hampshire,18.5%,16.8%,14.0%,18.1%,18.7%,16.3%
297,Providence,18.5%,20.5%,19.2%,18.2%,18.7%,17.1%
298,Louisiana Tech,18.5%,16.5%,14.8%,18.7%,18.4%,18.2%
299,Detroit Mercy,18.5%,22.6%,22.7%,17.6%,19.1%,19.0%
300,W Carolina,18.5%,13.2%,10.1%,18.0%,18.9%,14.4%
301,Elon,18.6%,17.5%,14.6%,18.8%,18.4%,17.5%
302,Seton Hall,18.6%,18.4%,23.2%,18.6%,18.7%,18.0%
303,UT Rio Grande,18.7%,21.6%,22.8%,17.8%,19.3%,18.6%
304,SC Upstate,18.7%,21.8%,19.7%,17.2%,19.6%,16.1%
305,Memphis,18.7%,17.0%,15.5%,19.2%,18.4%,17.6%
306,UT Arlington,18.8%,18.8%,20.8%,17.1%,19.7%,21.0%
307,NC Central,18.8%,23.2%,21.0%,18.4%,19.0%,17.4%
308,Pacific,18.8%,21.5%,24.8%,18.2%,19.3%,16.6%
309,Grambling,18.8%,15.4%,13.7%,16.3%,19.9%,19.6%
310,Jacksonville,18.9%,15.5%,16.6%,19.8%,18.3%,18.7%
311,Florida Intl,18.9%,14.3%,18.0%,19.2%,18.7%,18.4%
312,Wagner,18.9%,18.6%,18.8%,17.1%,20.1%,15.3%
313,Milwaukee,19.0%,14.2%,17.9%,16.4%,21.2%,17.5%
314,Alcorn St,19.0%,18.7%,17.3%,16.4%,20.1%,16.7%
315,UT Martin,19.0%,17.9%,19.3%,17.2%,19.9%,14.8%
316,Jackson St,19.0%,18.1%,21.3%,16.7%,19.9%,18.6%
317,Indiana St,19.1%,13.1%,10.9%,19.6%,18.7%,15.9%
318,Binghamton,19.1%,18.2%,9.0%,17.3%,20.0%,17.6%
319,Bethune,19.1%,10.9%,8.5%,18.3%,19.4%,19.1%
320,The Citadel,19.1%,19.3%,20.0%,17.8%,20.4%,17.6%
321,Buffalo,19.1%,19.1%,17.0%,18.5%,19.6%,19.5%
322,Kennesaw St,19.2%,14.2%,12.2%,19.1%,19.3%,15.6%
323,Southern Miss,19.2%,16.5%,20.7%,18.7%,19.6%,18.1%
324,UC Davis,19.3%,20.0%,22.0%,19.9%,18.8%,18.7%
325,St Francis PA,19.3%,18.1%,22.1%,18.1%,19.9%,20.6%
326,Maryland ES,19.3%,18.7%,11.9%,19.2%,19.3%,19.7%
327,Texas So,19.3%,22.8%,23.5%,17.3%,20.3%,17.7%
328,S Carolina St,19.3%,21.2%,21.3%,15.2%,21.0%,20.8%
329,Michigan,19.3%,19.3%,20.9%,19.6%,19.1%,18.1%
330,Charleston So,19.3%,21.3%,23.6%,18.6%,19.7%,17.7%
331,Le Moyne,19.3%,17.9%,19.2%,17.5%,20.5%,16.3%
332,George Mason,19.4%,17.9%,14.3%,18.0%,20.9%,17.6%
333,Troy,19.4%,13.0%,10.5%,18.8%,19.8%,19.0%
334,Wyoming,19.4%,19.8%,21.0%,18.9%,19.9%,18.1%
335,LIU,19.6%,17.1%,18.4%,22.2%,17.8%,19.7%
336,Virginia Tech,19.6%,24.4%,21.5%,18.9%,20.5%,16.0%
337,NW State,19.6%,19.2%,18.4%,18.9%,20.1%,18.8%
338,Sacramento St,19.8%,18.8%,14.0%,20.1%,19.5%,22.3%
339,Washington St,19.9%,14.3%,17.1%,19.3%,20.3%,16.0%
340,Little Rock,19.9%,20.4%,24.9%,18.9%,20.5%,17.1%
341,AR-Pine Bluff,20.0%,17.3%,21.8%,19.5%,20.3%,17.6%
342,Florida A&M,20.1%,12.0%,5.9%,17.5%,21.4%,21.0%
343,Saint Peter's,20.1%,15.0%,17.1%,18.2%,21.4%,18.7%
344,Boston U,20.1%,18.1%,25.5%,19.5%,20.7%,17.3%
345,Missouri St,20.2%,20.7%,18.8%,19.8%,20.4%,17.0%
346,Hawai'i,20.3%,19.1%,19.1%,19.1%,22.0%,17.9%
347,Cal Poly,20.3%,15.6%,14.8%,20.0%,20.4%,18.2%
348,Gardner-Webb,20.3%,20.8%,20.2%,18.8%,21.0%,15.7%
349,Iona,20.3%,17.1%,23.3%,19.4%,20.9%,14.6%
350,Abl Christian,20.3%,21.7%,21.9%,21.6%,19.4%,17.4%
351,Air Force,20.3%,19.9%,11.9%,19.9%,20.8%,18.5%
352,Colorado,20.5%,19.2%,18.8%,20.5%,20.6%,17.7%
353,Long Beach St,20.5%,24.3%,22.3%,20.3%,20.7%,16.7%
354,Tennessee St,20.6%,16.9%,14.3%,20.4%,20.8%,19.2%
355,CS Fullerton,20.8%,24.1%,13.4%,19.8%,21.6%,17.8%
356,Howard,20.8%,20.7%,18.0%,21.3%,20.5%,20.6%
357,S Utah,21.1%,19.2%,21.9%,19.7%,22.1%,16.5%
358,Coppin St,21.1%,18.1%,25.2%,18.9%,22.2%,22.2%
359,Mt St Mary's,21.2%,22.0%,18.1%,20.5%,21.6%,20.3%
360,Alabama A&M,21.4%,22.6%,21.8%,19.6%,23.1%,21.9%
361,SF Austin,21.6%,15.8%,13.8%,21.9%,21.4%,21.4%
362,E Texas A&M,21.9%,14.6%,17.9%,22.3%,21.7%,16.4%
363,Miss Valley St,23.7%,18.7%,21.4%,22.3%,24.4%,23.4%
364,Tarleton St,24.6%,21.5%,17.4%,22.3%,25.8%,16.3%
