Rank,Team,2024,Last 3,Last 1,Home,Away,2023
222,UMass Lowell,51.6%,52.5%,57.3%,49.7%,53.5%,47.3%
223,Illinois Chicago,51.6%,50.5%,49.2%,51.2%,51.8%,48.8%
224,Florida Intl,51.6%,47.2%,48.1%,52.2%,51.2%,55.6%
225,UAB,51.6%,46.4%,51.5%,49.7%,53.7%,51.0%
226,Ball St,51.6%,50.6%,52.1%,53.0%,50.5%,51.3%
227,Siena,51.7%,51.7%,50.8%,50.6%,52.6%,51.8%
228,Iona,51.7%,46.0%,53.8%,48.6%,53.9%,52.8%
229,Drake,51.7%,47.4%,47.6%,52.0%,51.4%,50.8%
230,Queens,51.7%,52.1%,57.4%,51.6%,51.8%,54.1%
231,E Carolina,51.7%,51.0%,56.0%,50.6%,52.9%,51.3%
232,Utah St,51.8%,46.7%,71.4%,53.3%,50.2%,49.8%
233,Wofford,51.8%,53.7%,59.8%,48.8%,53.3%,51.5%
234,Sacred Heart,51.8%,48.2%,49.2%,47.0%,54.7%,51.6%
235,S Indiana,51.8%,48.6%,53.8%,50.1%,53.4%,49.5%
236,San Jose St,51.9%,42.8%,41.4%,49.5%,53.8%,54.4%
237,Penn St,51.9%,50.0%,43.5%,50.5%,53.6%,50.2%
238,Boston College,51.9%,57.3%,60.0%,51.7%,52.2%,50.5%
239,Mississippi St,51.9%,54.5%,56.4%,51.5%,52.3%,48.0%
240,Incarnate Word,52.0%,47.4%,43.0%,53.2%,51.2%,51.8%
241,Gardner-Webb,52.0%,49.2%,55.8%,52.0%,52.0%,50.3%
242,Purdue,52.0%,55.4%,58.6%,50.4%,53.6%,47.5%
243,Tarleton St,52.1%,47.7%,38.8%,48.3%,53.8%,50.4%
244,American,52.1%,49.7%,38.6%,48.8%,55.1%,53.4%
245,N Colorado,52.1%,43.0%,72.8%,55.5%,49.9%,52.5%
246,Cornell,52.2%,52.1%,60.5%,52.1%,52.2%,51.3%
247,Harvard,52.2%,45.6%,46.9%,51.2%,53.0%,50.1%
248,Delaware,52.2%,44.9%,46.4%,52.9%,51.9%,48.7%
249,Montana,52.2%,47.6%,64.7%,48.8%,54.8%,50.7%
250,UT Martin,52.3%,54.4%,59.5%,50.4%,53.1%,49.3%
251,Virginia Tech,52.3%,51.3%,38.4%,54.2%,50.1%,51.0%
252,Howard,52.3%,48.1%,52.8%,49.9%,53.6%,51.1%
253,Ohio,52.3%,55.4%,46.9%,49.1%,54.9%,49.2%
254,Davidson,52.3%,55.6%,68.6%,50.3%,54.2%,49.3%
255,Boston U,52.4%,55.1%,57.4%,52.4%,52.4%,50.0%
256,UTEP,52.4%,56.0%,69.1%,51.0%,53.5%,51.5%
257,USC,52.4%,56.5%,55.5%,51.8%,53.1%,50.2%
258,Campbell,52.4%,60.0%,54.5%,47.4%,55.7%,52.2%
259,Morgan St,52.4%,47.9%,43.0%,47.5%,55.7%,52.0%
260,Navy,52.5%,57.5%,62.5%,51.4%,53.2%,50.3%
261,St Thomas,52.5%,54.1%,57.0%,53.1%,52.2%,52.0%
262,Pepperdine,52.5%,50.9%,51.7%,50.8%,53.8%,54.7%
263,N Kentucky,52.5%,51.8%,46.2%,52.1%,53.0%,51.3%
264,E Kentucky,52.6%,54.5%,57.5%,51.0%,53.5%,49.7%
265,La Salle,52.6%,46.8%,43.8%,51.7%,53.2%,50.7%
266,Bowling Green,52.6%,50.8%,60.9%,51.1%,53.8%,51.2%
267,Presbyterian,52.6%,41.1%,45.5%,53.6%,52.0%,52.8%
268,S Illinois,52.6%,59.4%,50.0%,49.6%,55.0%,50.1%
269,Hampton,52.6%,54.6%,53.2%,50.4%,53.9%,51.6%
270,Hou Christian,52.6%,49.7%,52.0%,51.4%,53.5%,54.0%
271,Richmond,52.7%,48.7%,55.2%,51.6%,53.8%,46.9%
272,Loyola MD,52.8%,54.8%,54.5%,52.5%,53.0%,53.3%
273,Rutgers,52.8%,57.4%,60.0%,50.1%,55.6%,47.2%
274,Fordham,52.8%,52.2%,60.7%,53.9%,51.8%,50.4%
275,Syracuse,52.9%,52.3%,60.6%,51.5%,54.5%,52.8%
276,Vanderbilt,52.9%,53.6%,50.0%,49.6%,56.9%,53.0%
277,Penn,53.0%,60.8%,74.6%,52.3%,53.5%,54.0%
278,Alcorn St,53.0%,53.5%,52.6%,45.7%,55.9%,55.0%
279,California,53.0%,53.9%,60.9%,51.5%,54.6%,51.3%
280,Utah Tech,53.0%,49.0%,50.0%,51.6%,53.9%,50.4%
281,Niagara,53.0%,50.0%,54.3%,56.4%,50.9%,52.2%
282,Washington,53.0%,60.2%,54.5%,51.0%,55.7%,50.1%
283,C Michigan,53.1%,52.2%,50.0%,51.2%,54.4%,47.3%
284,Omaha,53.1%,43.7%,48.4%,53.4%,52.9%,53.4%
285,Stetson,53.1%,51.1%,50.0%,50.8%,54.6%,52.3%
286,Rider,53.1%,55.3%,50.0%,53.7%,52.8%,49.2%
287,Sam Houston,53.1%,52.2%,55.0%,53.2%,53.1%,49.8%
288,Wright St,53.2%,59.0%,56.1%,52.2%,54.0%,55.3%
289,Cal Poly,53.2%,57.5%,63.9%,50.6%,54.8%,51.5%
290,Oklahoma St,53.2%,47.6%,45.1%,52.3%,54.1%,51.3%
291,Pacific,53.2%,56.0%,48.2%,55.9%,51.0%,56.3%
292,Samford,53.2%,66.6%,76.5%,51.6%,54.6%,50.5%
293,N Illinois,53.2%,50.6%,46.4%,50.4%,55.2%,52.9%
294,N Arizona,53.3%,50.0%,58.0%,53.1%,53.4%,52.9%
295,Purdue FW,53.3%,47.3%,40.5%,50.7%,54.9%,51.6%
296,Colgate,53.3%,50.6%,56.5%,52.2%,54.0%,47.9%
297,UTSA,53.3%,51.2%,42.9%,50.7%,55.2%,51.9%
298,Charleston So,53.4%,56.4%,59.8%,49.2%,55.4%,50.9%
299,NC Asheville,53.4%,55.8%,55.6%,53.3%,53.4%,50.1%
300,Weber St,53.4%,52.8%,60.4%,52.3%,54.1%,54.3%
301,Princeton,53.4%,62.3%,48.0%,53.1%,53.6%,52.0%
302,Long Beach St,53.4%,54.2%,61.3%,52.7%,53.9%,51.1%
303,William & Mary,53.5%,57.7%,70.0%,50.8%,55.2%,52.2%
304,Holy Cross,53.5%,56.4%,45.8%,53.2%,53.6%,53.6%
305,UL Monroe,53.6%,53.5%,53.3%,51.9%,55.1%,52.6%
306,Fairfield,53.7%,47.3%,50.0%,54.0%,53.4%,52.5%
307,E Michigan,53.7%,53.0%,53.4%,55.2%,52.5%,52.0%
308,Valparaiso,53.7%,46.5%,53.0%,53.8%,53.7%,54.5%
309,Belmont,53.7%,40.6%,43.2%,53.8%,53.7%,51.1%
310,Army,53.7%,59.9%,62.3%,53.4%,54.0%,50.3%
311,Austin Peay,53.8%,54.1%,64.2%,50.4%,55.6%,53.1%
312,Illinois St,53.8%,45.5%,49.2%,53.5%,54.0%,50.9%
313,Delaware St,53.8%,55.4%,58.0%,51.9%,54.8%,50.9%
314,E Texas A&M,53.8%,49.7%,47.3%,53.4%,54.2%,52.4%
315,San Diego,54.0%,61.5%,73.7%,52.2%,56.0%,52.5%
316,Fresno St,54.0%,52.1%,52.2%,50.1%,57.0%,53.1%
317,Idaho,54.0%,53.8%,57.4%,51.5%,55.7%,53.5%
318,UMBC,54.1%,53.7%,51.4%,55.4%,53.0%,50.3%
319,Idaho St,54.1%,60.6%,73.1%,53.4%,54.5%,54.5%
320,N Florida,54.1%,58.5%,59.9%,54.1%,54.1%,52.6%
321,VMI,54.2%,46.5%,58.1%,53.4%,54.6%,54.5%
322,Charlotte,54.2%,51.9%,51.1%,53.5%,54.8%,48.5%
323,Buffalo,54.2%,58.5%,54.3%,54.3%,54.2%,53.9%
324,CS Bakersfield,54.3%,55.2%,49.0%,54.3%,54.2%,50.0%
325,CS Fullerton,54.3%,58.6%,44.6%,53.5%,54.9%,49.9%
326,Indiana St,54.3%,53.9%,60.4%,52.2%,55.6%,49.9%
327,Alabama A&M,54.3%,56.6%,57.0%,54.1%,54.5%,49.1%
328,Denver,54.3%,50.7%,62.2%,54.0%,54.5%,54.7%
329,New Hampshire,54.4%,55.0%,59.4%,51.6%,55.9%,50.5%
330,Iowa,54.4%,50.0%,63.1%,51.5%,58.0%,52.3%
331,E Washington,54.4%,52.7%,52.8%,52.5%,55.7%,52.8%
332,The Citadel,54.5%,66.1%,66.3%,53.0%,55.9%,53.5%
333,W Michigan,54.5%,47.5%,54.1%,50.2%,58.4%,50.9%
334,Air Force,54.6%,55.7%,51.0%,53.8%,55.5%,54.2%
335,Portland,54.6%,52.8%,56.3%,55.6%,53.8%,55.3%
336,Missouri St,54.7%,56.5%,60.8%,54.1%,55.1%,48.0%
337,Le Moyne,54.7%,62.3%,63.2%,51.9%,56.4%,50.6%
338,Seton Hall,54.7%,62.4%,53.4%,53.4%,55.9%,49.2%
339,NC Central,54.8%,58.7%,65.5%,52.7%,55.9%,49.0%
340,Green Bay,54.8%,55.5%,58.0%,55.4%,54.4%,49.4%
341,South Dakota,54.8%,57.0%,65.9%,52.5%,56.5%,53.1%
342,Chicago St,54.9%,57.2%,48.5%,53.7%,55.4%,53.6%
343,Albany,54.9%,57.9%,56.2%,52.3%,56.8%,51.4%
344,New Orleans,54.9%,58.3%,71.7%,54.7%,55.1%,54.4%
345,Oral Roberts,55.0%,52.6%,53.3%,52.0%,56.8%,51.4%
346,Mercyhurst,55.0%,50.6%,44.9%,50.9%,57.4%,--
347,Sacramento St,55.1%,63.4%,67.9%,55.4%,54.8%,54.1%
348,Maryland ES,55.3%,53.4%,58.7%,52.9%,56.2%,50.9%
349,Coppin St,55.6%,48.8%,44.4%,50.7%,58.0%,51.3%
350,Longwood,55.9%,60.7%,69.6%,52.7%,58.5%,51.8%
351,Stony Brook,56.0%,52.4%,63.5%,53.3%,58.1%,50.0%
352,SC Upstate,56.1%,55.6%,50.0%,54.4%,57.1%,52.0%
353,W Georgia,56.1%,50.6%,48.2%,53.7%,57.5%,--
354,Prairie View,56.2%,58.1%,53.6%,57.4%,55.8%,53.7%
355,AR-Pine Bluff,56.3%,50.3%,54.8%,49.6%,59.6%,52.6%
356,Columbia,56.4%,59.9%,64.9%,55.9%,56.8%,52.8%
357,Toledo,56.4%,56.5%,64.9%,58.1%,55.5%,54.3%
358,North Dakota,56.5%,46.9%,59.7%,58.2%,55.5%,52.4%
359,C Arkansas,56.8%,57.9%,61.5%,52.3%,59.9%,54.0%
360,Canisius,56.9%,54.8%,45.2%,57.5%,56.5%,51.2%
361,IU Indy,57.0%,68.0%,75.4%,56.7%,57.3%,58.2%
362,Miami,57.4%,58.4%,44.7%,57.0%,57.9%,51.0%
363,Miss Valley St,57.9%,55.3%,50.0%,54.6%,59.3%,55.6%
364,Bellarmine,58.1%,52.8%,59.2%,57.3%,58.7%,53.9%
