Rank,Team,2024,Last 3,Last 1,Home,Away,2023
57,Cal Poly,36.3%,47.7%,46.4%,35.2%,37.0%,33.0%
58,Montana,36.3%,39.4%,29.2%,37.2%,35.6%,35.9%
59,Texas,36.2%,38.2%,47.1%,38.0%,34.2%,35.5%
60,NC Greensboro,36.2%,33.9%,14.3%,38.0%,35.0%,38.9%
61,UTSA,36.1%,38.0%,40.0%,35.8%,36.3%,33.4%
62,UCSD,36.1%,30.6%,23.3%,36.9%,35.6%,34.9%
63,Presbyterian,36.0%,38.9%,42.1%,36.7%,35.7%,32.8%
64,North Carolina,36.0%,39.7%,58.3%,36.3%,35.9%,35.9%
65,Missouri St,36.0%,38.3%,26.3%,38.8%,34.2%,31.4%
66,N Texas,35.9%,33.3%,44.4%,37.7%,34.2%,37.7%
67,Furman,35.9%,38.5%,33.3%,34.2%,37.0%,33.2%
68,Dayton,35.9%,38.3%,43.3%,34.0%,37.9%,39.9%
69,Temple,35.8%,36.7%,26.1%,38.8%,33.7%,31.7%
70,Iowa St,35.8%,42.3%,43.3%,38.7%,32.9%,35.8%
71,Incarnate Word,35.8%,30.6%,22.7%,37.1%,34.8%,32.0%
72,Arizona St,35.8%,32.8%,26.9%,36.8%,34.9%,30.0%
73,Colgate,35.7%,36.0%,30.4%,36.5%,35.3%,35.5%
74,Mercyhurst,35.7%,49.1%,60.0%,38.6%,33.7%,--
75,FGCU,35.7%,41.3%,31.8%,34.8%,36.6%,36.2%
76,Maine,35.7%,25.0%,14.3%,37.7%,34.5%,29.7%
77,Omaha,35.6%,27.7%,13.9%,35.1%,35.9%,31.6%
78,Providence,35.6%,33.8%,22.9%,36.8%,34.5%,32.5%
79,Radford,35.6%,31.4%,33.3%,40.4%,32.7%,35.7%
80,Bellarmine,35.6%,36.6%,29.2%,36.6%,34.7%,33.6%
81,Lamar,35.6%,22.4%,21.7%,33.6%,36.7%,34.8%
82,Charleston,35.5%,40.5%,45.2%,41.4%,31.2%,34.7%
83,Florida,35.5%,38.5%,33.3%,37.9%,33.5%,34.5%
84,UC Irvine,35.5%,38.4%,41.7%,35.4%,35.5%,34.9%
85,Delaware St,35.5%,38.5%,33.3%,37.6%,34.4%,31.0%
86,Notre Dame,35.5%,31.3%,30.0%,33.4%,37.4%,31.8%
87,Binghamton,35.4%,26.3%,35.0%,36.2%,35.0%,29.9%
88,UConn,35.4%,36.4%,38.1%,33.7%,37.1%,35.8%
89,Kansas,35.4%,45.3%,47.1%,36.1%,34.7%,33.6%
90,UT Arlington,35.4%,29.5%,45.8%,32.5%,37.4%,35.4%
91,Stonehill,35.4%,32.3%,26.3%,37.9%,33.8%,30.1%
92,UCLA,35.4%,38.2%,41.7%,34.6%,36.2%,33.2%
93,George Mason,35.4%,43.1%,37.0%,34.3%,36.5%,34.3%
94,Long Beach St,35.3%,33.8%,31.0%,36.2%,34.7%,30.9%
95,Bucknell,35.3%,39.7%,30.8%,36.0%,34.7%,33.8%
96,Drake,35.3%,34.1%,50.0%,36.2%,34.5%,36.4%
96,Princeton,35.3%,35.8%,28.6%,37.3%,33.9%,35.2%
98,San Jose St,35.3%,33.9%,43.8%,34.9%,35.6%,34.2%
99,Monmouth,35.2%,35.8%,35.7%,40.5%,33.0%,34.8%
100,McNeese,35.2%,32.7%,21.1%,35.4%,35.1%,38.7%
101,S Indiana,35.2%,40.6%,38.1%,35.4%,35.0%,31.6%
102,American,35.2%,40.3%,37.1%,37.0%,33.8%,34.7%
103,NW State,35.2%,46.9%,34.6%,32.4%,37.2%,31.3%
104,Saint Louis,35.1%,35.0%,30.8%,38.5%,32.0%,36.4%
105,Gonzaga,35.1%,32.7%,60.0%,37.8%,32.6%,36.2%
106,Tenn Tech,35.1%,35.9%,43.8%,34.7%,35.4%,32.3%
107,Florida Atlantic,35.1%,30.8%,40.9%,37.0%,33.7%,35.1%
108,S Illinois,35.1%,33.3%,27.8%,34.7%,35.4%,34.2%
109,Mt St Mary's,35.1%,38.2%,40.9%,33.6%,36.0%,35.2%
110,Virginia Tech,35.0%,25.4%,12.0%,37.1%,32.5%,34.8%
111,Drexel,35.0%,47.7%,50.0%,36.8%,33.9%,34.1%
112,Ohio,35.0%,36.7%,33.3%,39.1%,31.9%,35.1%
113,Indiana St,35.0%,37.7%,38.5%,35.3%,34.8%,38.1%
114,N Florida,35.0%,39.2%,35.5%,37.7%,33.3%,35.9%
115,Alabama,35.0%,33.7%,31.4%,32.4%,37.1%,37.3%
116,Nicholls,35.0%,30.0%,37.5%,32.3%,36.8%,36.8%
117,E Michigan,35.0%,39.1%,41.4%,35.6%,34.5%,30.8%
118,Niagara,34.9%,44.6%,56.5%,35.3%,34.7%,35.9%
119,E Kentucky,34.9%,33.3%,37.5%,37.6%,33.5%,36.1%
120,Robert Morris,34.9%,40.8%,50.0%,33.8%,36.1%,33.7%
121,Utah St,34.9%,21.3%,12.9%,38.0%,31.7%,32.5%
122,Coastal Car,34.8%,33.8%,23.1%,37.3%,33.1%,32.1%
123,Wisconsin,34.8%,25.3%,30.4%,36.7%,33.1%,34.9%
124,S Dakota St,34.8%,25.8%,10.3%,38.5%,32.7%,36.4%
125,Wofford,34.8%,44.6%,42.3%,34.5%,34.9%,35.5%
126,Texas A&M-CC,34.7%,39.0%,38.1%,37.3%,33.0%,29.4%
127,CS Northridge,34.7%,36.0%,23.5%,35.3%,34.3%,30.0%
128,E Tennessee St,34.7%,37.5%,31.8%,34.3%,35.1%,31.2%
129,Idaho,34.7%,26.0%,19.2%,35.2%,34.3%,33.5%
130,S Carolina St,34.7%,45.8%,37.0%,31.2%,36.2%,32.3%
131,Baylor,34.7%,30.3%,25.0%,34.6%,34.7%,39.5%
132,Queens,34.6%,36.4%,33.3%,36.5%,33.6%,32.9%
133,N Alabama,34.6%,31.3%,26.7%,35.8%,33.6%,35.6%
134,UTEP,34.6%,31.3%,31.8%,33.5%,35.5%,31.0%
135,Rhode Island,34.6%,36.8%,31.6%,33.8%,35.5%,34.9%
136,DePaul,34.6%,42.0%,40.0%,35.6%,33.1%,33.5%
137,Pittsburgh,34.6%,31.9%,18.2%,38.7%,29.7%,35.7%
138,Ball St,34.6%,25.8%,14.3%,34.0%,35.0%,36.1%
139,Sacred Heart,34.5%,34.7%,22.6%,31.6%,36.3%,35.8%
140,William & Mary,34.5%,37.2%,32.4%,34.9%,34.3%,32.1%
141,Boston College,34.5%,26.3%,20.0%,33.0%,36.2%,36.2%
142,Loyola Chi,34.5%,27.5%,29.6%,36.5%,32.8%,34.9%
143,SE Missouri St,34.5%,31.9%,12.5%,35.2%,34.0%,30.0%
144,N Arizona,34.5%,40.3%,28.0%,40.1%,31.4%,31.2%
145,Georgia So,34.5%,32.9%,31.0%,37.7%,32.1%,35.2%
146,Oral Roberts,34.4%,28.8%,25.0%,35.5%,33.8%,36.0%
147,Wyoming,34.4%,25.6%,10.5%,35.9%,33.2%,36.1%
148,Georgia St,34.4%,41.9%,40.0%,36.3%,32.9%,32.2%
149,Washington,34.4%,30.8%,26.3%,33.1%,36.1%,35.4%
150,J Madison,34.3%,30.8%,25.9%,33.4%,34.9%,36.0%
151,Stanford,34.3%,43.6%,38.7%,36.1%,32.0%,37.0%
152,Jacksonville St,34.3%,42.4%,50.0%,33.7%,34.6%,32.1%
153,Georgia Tech,34.3%,38.0%,37.1%,37.5%,29.7%,32.6%
154,Penn St,34.3%,42.9%,57.9%,34.8%,33.5%,33.4%
154,Montana St,34.3%,29.9%,16.7%,36.0%,33.0%,36.7%
156,Manhattan,34.2%,32.9%,19.4%,34.4%,34.1%,31.3%
157,Creighton,34.2%,34.3%,45.8%,37.0%,31.3%,36.8%
158,NC Asheville,34.2%,35.2%,25.0%,34.8%,33.8%,36.4%
159,UMass Lowell,34.2%,37.0%,21.4%,37.6%,30.4%,32.3%
160,Mississippi,34.1%,27.9%,17.4%,33.5%,34.8%,36.5%
161,Louisiana Tech,34.1%,31.7%,6.7%,34.6%,33.8%,35.7%
162,Nevada,34.1%,21.9%,19.2%,37.2%,30.4%,36.4%
163,Davidson,34.1%,31.6%,34.4%,34.8%,33.3%,30.7%
164,Tennessee,34.1%,31.5%,35.7%,34.0%,34.2%,34.4%
165,New Mexico,34.1%,31.8%,33.3%,33.8%,34.3%,32.7%
166,San Francisco,34.0%,34.9%,36.4%,35.0%,33.2%,35.1%
167,Illinois Chicago,34.0%,30.2%,25.0%,33.3%,34.5%,36.0%
168,Lafayette,34.0%,33.8%,42.3%,34.3%,33.8%,31.2%
169,App State,34.0%,33.3%,30.4%,36.9%,31.8%,33.2%
170,Austin Peay,34.0%,31.6%,30.0%,39.0%,30.9%,35.5%
171,UAB,34.0%,26.3%,28.6%,30.6%,37.7%,33.1%
172,Oregon,34.0%,30.0%,21.1%,34.6%,33.4%,33.8%
173,Duquesne,34.0%,30.6%,29.6%,35.1%,32.9%,33.9%
174,Pepperdine,34.0%,34.3%,27.8%,35.0%,33.3%,35.7%
175,Dartmouth,33.9%,25.7%,24.1%,35.7%,32.7%,31.2%
176,Tulane,33.9%,40.6%,31.0%,37.1%,30.0%,35.6%
177,Stony Brook,33.8%,42.9%,46.7%,35.8%,32.4%,35.5%
178,St Francis PA,33.8%,32.8%,45.5%,35.0%,33.1%,33.2%
179,VCU,33.8%,33.3%,39.5%,34.8%,33.0%,35.3%
180,Columbia,33.8%,27.0%,24.0%,34.9%,32.3%,37.4%
181,Winthrop,33.8%,39.3%,25.9%,37.4%,31.7%,33.7%
182,NC Central,33.7%,33.3%,30.8%,34.4%,33.3%,33.2%
183,Northeastern,33.7%,36.7%,35.7%,33.7%,33.7%,31.8%
184,Portland,33.7%,39.5%,41.9%,33.6%,33.8%,34.1%
185,Murray St,33.6%,34.2%,24.0%,33.3%,33.7%,31.6%
186,Florida A&M,33.6%,29.6%,37.0%,37.9%,31.3%,34.1%
187,UCF,33.6%,39.0%,42.4%,32.6%,34.8%,32.2%
188,Stetson,33.6%,33.3%,46.2%,33.7%,33.5%,35.9%
189,Toledo,33.6%,31.1%,29.4%,32.4%,34.1%,37.6%
190,Saint Joseph's,33.5%,24.2%,21.2%,33.5%,33.6%,35.2%
191,UC Riverside,33.5%,27.9%,33.3%,35.8%,32.0%,32.3%
192,Bowling Green,33.5%,34.5%,23.8%,34.3%,32.9%,29.3%
193,Michigan,33.4%,32.1%,33.3%,35.8%,31.5%,35.9%
194,Utah Tech,33.4%,33.3%,27.3%,37.3%,30.9%,33.7%
195,Towson,33.4%,40.0%,30.4%,33.2%,33.5%,32.8%
196,Bryant,33.4%,32.7%,29.4%,33.2%,33.5%,32.7%
197,Denver,33.3%,35.7%,30.8%,37.4%,31.0%,35.1%
197,Navy,33.3%,32.1%,20.0%,34.4%,32.7%,29.6%
199,UNLV,33.3%,24.6%,15.0%,32.9%,33.8%,33.7%
200,Detroit Mercy,33.3%,35.6%,35.3%,33.3%,33.2%,28.1%
201,Hofstra,33.2%,39.5%,42.9%,33.8%,32.9%,36.8%
202,Rice,33.2%,16.4%,7.7%,33.0%,33.4%,33.2%
202,Northwestern,33.2%,25.0%,25.0%,34.0%,32.4%,39.0%
204,Texas So,33.1%,45.9%,45.5%,31.2%,34.3%,31.1%
205,Brown,33.1%,19.7%,30.0%,33.9%,32.1%,33.7%
206,Loyola Mymt,33.1%,39.1%,29.0%,34.5%,31.5%,36.8%
207,SIU Edward,33.1%,23.2%,8.3%,34.6%,32.2%,32.5%
208,Air Force,33.1%,28.6%,28.9%,34.8%,31.3%,36.1%
209,Kansas City,33.1%,33.8%,36.0%,38.1%,30.4%,33.4%
210,Arkansas,33.0%,29.4%,25.0%,33.7%,32.3%,31.8%
211,Boston U,33.0%,37.3%,46.7%,35.3%,30.7%,32.8%
212,Gardner-Webb,33.0%,27.9%,31.6%,35.8%,31.2%,34.6%
213,Merrimack,33.0%,35.9%,25.0%,33.5%,32.6%,31.1%
214,Georgia,32.9%,31.9%,19.2%,37.2%,27.6%,34.1%
215,Green Bay,32.9%,30.4%,26.9%,32.5%,33.3%,34.0%
216,C Connecticut,32.9%,37.7%,17.6%,36.7%,29.3%,32.8%
217,Longwood,32.9%,30.2%,25.0%,32.8%,33.0%,33.4%
218,Loyola MD,32.9%,38.8%,43.5%,29.8%,35.2%,32.7%
219,Rutgers,32.9%,25.0%,20.0%,34.1%,31.6%,28.7%
220,Elon,32.8%,36.5%,38.1%,31.6%,33.6%,35.2%
221,Louisville,32.8%,27.3%,27.6%,30.0%,35.7%,30.6%
222,La Salle,32.8%,52.1%,64.7%,30.0%,34.8%,34.5%
223,Syracuse,32.8%,28.0%,27.3%,30.2%,35.6%,33.4%
224,NC Wilmington,32.8%,25.7%,26.9%,33.3%,32.3%,33.0%
225,Siena,32.8%,23.8%,28.6%,33.3%,32.4%,28.0%
226,Oklahoma St,32.8%,50.0%,42.9%,35.2%,30.5%,33.4%
227,Le Moyne,32.8%,40.7%,22.2%,32.3%,33.1%,34.1%
228,Saint Mary's,32.7%,21.6%,0.0%,31.6%,33.9%,35.3%
229,N Kentucky,32.7%,39.5%,37.0%,35.2%,30.0%,31.6%
230,N Illinois,32.7%,36.6%,37.5%,37.0%,29.6%,32.7%
231,Tennessee St,32.6%,35.8%,26.7%,32.7%,32.6%,31.3%
232,San Diego St,32.6%,33.8%,29.6%,33.5%,31.9%,31.5%
233,West Virginia,32.6%,32.9%,31.6%,34.3%,30.6%,34.9%
234,Utah,32.6%,27.5%,15.4%,35.4%,28.7%,37.0%
235,Alabama St,32.6%,28.9%,24.0%,33.6%,32.2%,28.0%
236,Jackson St,32.6%,44.7%,29.4%,37.0%,30.8%,32.5%
237,Penn,32.6%,31.9%,35.3%,34.2%,30.9%,35.3%
238,Hou Christian,32.5%,29.4%,31.8%,34.9%,30.8%,29.5%
239,Vanderbilt,32.5%,29.6%,15.8%,32.7%,32.4%,28.3%
240,Kansas St,32.5%,20.3%,12.0%,33.1%,32.0%,31.8%
241,Nebraska,32.5%,31.0%,22.2%,31.7%,33.4%,35.7%
242,Utah Valley,32.5%,30.5%,19.0%,40.4%,28.5%,28.5%
243,Cleveland St,32.5%,33.3%,66.7%,27.3%,37.3%,33.1%
244,UL Monroe,32.5%,39.2%,41.2%,31.7%,33.1%,28.5%
245,North Dakota,32.5%,33.8%,28.6%,35.9%,30.2%,32.3%
246,Marquette,32.5%,33.0%,20.7%,32.1%,32.9%,35.2%
247,Arizona,32.4%,40.4%,27.8%,34.4%,30.3%,36.6%
248,Weber St,32.4%,36.4%,16.7%,36.4%,29.9%,34.2%
249,Hampton,32.4%,28.8%,25.0%,36.6%,29.7%,30.9%
250,SE Louisiana,32.4%,28.9%,10.0%,34.7%,31.1%,34.1%
251,Vermont,32.3%,31.4%,15.4%,34.0%,31.1%,33.3%
252,Arkansas St,32.3%,40.4%,45.7%,33.4%,31.3%,34.4%
253,Valparaiso,32.3%,37.1%,38.5%,33.3%,31.3%,32.0%
254,E Washington,32.3%,31.1%,42.9%,33.9%,31.2%,36.8%
255,Marshall,32.3%,34.7%,33.3%,35.6%,29.5%,31.0%
256,UC Davis,32.2%,36.1%,35.0%,35.5%,29.9%,32.9%
257,Tarleton St,32.2%,26.3%,10.0%,31.6%,32.5%,33.3%
258,Colorado,32.2%,34.5%,25.0%,34.3%,29.6%,39.1%
259,Minnesota,32.2%,27.6%,31.8%,33.6%,29.9%,35.5%
260,Saint Peter's,32.2%,27.4%,34.6%,30.0%,33.7%,33.2%
261,F Dickinson,32.2%,24.2%,20.0%,34.8%,30.8%,31.8%
262,NC State,32.2%,33.3%,32.1%,30.5%,34.5%,34.5%
263,Indiana,32.1%,29.5%,25.0%,31.9%,32.4%,32.4%
264,Fordham,32.0%,33.8%,41.7%,33.3%,30.9%,31.5%
265,Harvard,32.0%,34.4%,28.6%,35.4%,29.7%,33.7%
266,Cincinnati,32.0%,27.2%,30.0%,31.7%,32.3%,33.0%
267,Portland St,32.0%,29.7%,25.6%,31.7%,32.1%,32.4%
268,Grambling,32.0%,32.8%,22.7%,28.2%,33.7%,34.0%
269,Campbell,31.9%,28.1%,22.2%,30.5%,32.9%,34.6%
270,Bethune,31.9%,31.4%,11.5%,30.2%,32.6%,32.0%
271,Milwaukee,31.9%,25.8%,27.8%,30.8%,32.6%,32.2%
272,UT Rio Grande,31.8%,37.9%,44.8%,30.9%,32.5%,29.0%
273,Alcorn St,31.8%,29.5%,20.0%,29.1%,32.8%,34.2%
274,Georgetown,31.8%,36.4%,25.0%,31.7%,32.0%,34.6%
275,Iona,31.8%,29.3%,21.7%,31.4%,32.0%,35.3%
276,Mercer,31.8%,31.4%,30.4%,32.2%,31.5%,35.3%
277,W Kentucky,31.7%,27.3%,5.6%,35.9%,26.6%,34.3%
278,Cal Baptist,31.7%,34.4%,38.9%,33.2%,30.3%,32.9%
279,New Hampshire,31.7%,25.7%,30.8%,31.0%,32.2%,31.8%
280,E Illinois,31.7%,43.2%,38.5%,31.5%,31.8%,31.8%
281,S Alabama,31.7%,26.3%,16.7%,30.7%,32.8%,35.1%
282,Albany,31.7%,37.2%,38.5%,29.5%,33.2%,32.8%
283,Florida St,31.7%,29.4%,20.0%,31.7%,31.6%,31.7%
284,Grand Canyon,31.6%,28.3%,35.3%,33.5%,29.4%,33.5%
285,South Carolina,31.6%,31.7%,34.8%,34.1%,28.6%,33.9%
286,Wagner,31.6%,19.4%,12.5%,31.6%,31.6%,32.2%
287,S Florida,31.6%,27.4%,29.4%,28.2%,34.5%,36.7%
288,South Dakota,31.6%,30.1%,31.3%,33.2%,30.4%,37.6%
289,Morgan St,31.6%,32.4%,14.3%,34.5%,29.7%,28.2%
290,Prairie View,31.5%,27.9%,29.2%,36.3%,29.6%,30.4%
291,Maryland ES,31.5%,43.9%,44.0%,33.3%,30.7%,28.3%
292,Middle Tenn,31.5%,28.7%,27.3%,31.1%,31.8%,31.1%
293,California,31.5%,26.8%,27.8%,33.0%,29.7%,33.8%
294,Fairfield,31.5%,23.2%,24.0%,31.9%,31.2%,36.2%
295,Marist,31.4%,23.0%,14.3%,29.4%,33.3%,35.6%
296,E Texas A&M,31.4%,30.9%,32.1%,34.4%,29.0%,29.4%
297,Mississippi St,31.4%,34.4%,20.0%,32.8%,30.2%,32.2%
298,C Michigan,31.3%,27.9%,44.4%,32.2%,30.8%,30.1%
299,St Bonaventure,31.3%,28.4%,29.6%,34.5%,28.4%,36.5%
300,G Washington,31.3%,37.7%,39.1%,31.6%,31.0%,35.8%
301,Louisiana,31.3%,28.8%,11.1%,30.3%,32.4%,32.6%
302,Fresno St,31.3%,29.3%,40.0%,32.4%,30.5%,33.2%
303,Youngstown St,31.3%,29.3%,37.9%,31.6%,31.1%,31.9%
304,Miami,31.3%,30.0%,38.9%,32.7%,29.6%,36.1%
305,Seattle,31.3%,28.6%,25.0%,36.7%,28.1%,34.5%
306,Norfolk St,31.3%,22.5%,33.3%,32.0%,30.9%,33.1%
307,Idaho St,31.2%,21.9%,21.7%,35.1%,28.8%,32.2%
308,Southern,31.2%,25.9%,17.6%,32.4%,30.7%,32.5%
309,Morehead St,31.2%,29.5%,45.5%,30.7%,31.6%,35.4%
310,E Carolina,31.2%,28.6%,40.0%,29.7%,32.8%,31.3%
311,Richmond,31.2%,30.5%,40.9%,31.6%,30.8%,36.2%
312,Rider,31.2%,29.8%,23.1%,27.9%,33.1%,33.7%
313,Seton Hall,31.2%,28.8%,33.3%,28.5%,34.1%,33.6%
314,Tulsa,31.2%,27.1%,28.0%,32.5%,29.8%,32.1%
315,Sacramento St,31.2%,28.4%,33.3%,30.8%,31.5%,32.4%
316,Illinois,31.1%,34.9%,22.2%,30.5%,31.9%,34.9%
317,UT Martin,31.1%,32.4%,37.0%,28.0%,32.5%,36.2%
318,Boise St,31.0%,27.7%,29.6%,32.9%,29.6%,34.2%
319,VMI,31.0%,27.6%,30.0%,29.7%,31.8%,29.7%
320,Charlotte,31.0%,31.1%,25.9%,32.9%,29.3%,31.3%
321,Kent St,31.0%,36.9%,50.0%,34.4%,28.3%,36.0%
322,AR-Pine Bluff,31.0%,40.0%,30.0%,33.3%,29.7%,36.5%
323,Hawai'i,31.0%,32.4%,34.5%,30.4%,31.8%,34.0%
324,New Mexico St,30.9%,34.5%,34.8%,32.1%,29.9%,31.2%
325,Texas A&M,30.8%,31.0%,24.0%,28.8%,32.6%,29.3%
326,Army,30.8%,16.0%,14.8%,35.4%,27.0%,31.8%
327,Alabama A&M,30.8%,35.8%,48.0%,30.2%,31.4%,28.7%
328,Michigan St,30.8%,39.7%,36.8%,30.8%,30.8%,36.3%
329,St John's,30.8%,37.7%,37.8%,30.7%,30.8%,34.1%
330,Charleston So,30.7%,25.7%,25.0%,32.1%,29.9%,31.4%
331,Oakland,30.6%,39.7%,34.8%,31.0%,30.4%,35.5%
332,Kennesaw St,30.6%,40.0%,40.0%,28.6%,31.7%,32.9%
333,Chicago St,30.6%,39.3%,40.0%,31.4%,30.2%,29.7%
334,NJIT,30.5%,29.6%,36.7%,27.6%,32.3%,29.6%
335,S Utah,30.5%,20.4%,25.0%,29.3%,31.5%,29.4%
336,LSU,30.5%,24.3%,19.2%,32.5%,28.0%,35.7%
337,Buffalo,30.5%,36.5%,25.9%,27.8%,32.6%,27.5%
338,New Orleans,30.4%,21.7%,23.5%,30.2%,30.6%,30.3%
339,Troy,30.3%,29.7%,29.4%,34.3%,27.3%,35.3%
340,LIU,30.3%,31.0%,33.3%,32.2%,29.0%,31.0%
341,Wichita St,30.2%,38.5%,30.0%,27.2%,33.1%,33.0%
342,NC A&T,30.0%,28.6%,22.7%,29.5%,30.4%,28.7%
342,TCU,30.0%,27.9%,31.8%,32.4%,26.9%,35.4%
344,Evansville,29.9%,26.1%,21.4%,34.8%,24.6%,33.6%
345,Southern Miss,29.8%,26.8%,27.3%,31.3%,28.8%,33.7%
346,Quinnipiac,29.8%,31.4%,31.0%,29.9%,29.8%,34.5%
347,Pacific,29.7%,31.5%,42.9%,30.4%,29.1%,31.4%
348,San Diego,29.7%,42.2%,41.4%,30.8%,28.5%,34.8%
349,W Georgia,29.7%,28.3%,23.5%,28.4%,30.4%,--
350,W Carolina,29.7%,31.0%,27.6%,31.3%,28.6%,36.8%
351,C Arkansas,29.6%,21.0%,26.7%,28.6%,30.3%,34.2%
352,SC Upstate,29.4%,26.8%,20.0%,30.2%,28.9%,32.5%
353,The Citadel,29.2%,23.5%,21.7%,30.0%,28.3%,32.9%
354,Coppin St,29.0%,34.0%,33.3%,29.9%,28.4%,28.3%
355,Abl Christian,28.9%,23.3%,5.6%,28.5%,29.2%,34.1%
356,Miss Valley St,28.8%,41.8%,47.6%,34.9%,25.6%,29.2%
357,Florida Intl,28.8%,26.2%,38.1%,33.0%,25.8%,32.9%
358,SF Austin,28.7%,27.6%,27.3%,33.2%,24.4%,33.2%
359,Wake Forest,28.5%,27.5%,9.1%,29.0%,27.9%,36.4%
360,Old Dominion,28.3%,27.6%,20.0%,26.5%,29.5%,31.8%
361,W Michigan,28.2%,28.0%,25.0%,25.7%,30.4%,32.8%
362,UMass,28.0%,24.7%,33.3%,29.0%,27.0%,31.3%
363,CS Fullerton,27.0%,29.4%,34.6%,29.2%,25.4%,32.2%
364,Lindenwood,26.7%,21.2%,26.3%,29.2%,25.5%,29.0%
